entity,description,is_india
alto,Automobile model - general term,0
hang seng,Hong Kong stock market index,0
nomura,Global financial services company,0
"monetary policy committees",General term for committees setting monetary policy,0
mlas,Members of Legislative Assembly - context-specific,0
zoho corporation,Indian software company,1
gjc,Potential reference to specific term - context needed,0
invits,Indian investment trusts,1
google play store,Global app marketplace,0
honor 9 lite,Smartphone model,0
enkash,Indian fintech company,1
mous,Memorandum of Understanding - general term,0
affle india,Indian mobile advertising company,1
"moons",Potential reference to specific term - context needed,0
dassault aviation,Global aerospace company,0
amazon.com inc,Global e-commerce company,0
fatf,Financial Action Task Force - global,0
niis,Potential reference to specific term - context needed,0
adani enterprises,Indian multinational conglomerate,1
start up india,Indian government initiative to promote startups,1
kisan trains,Indian trains for farmers,1
titan d-mart,Potential reference to specific term - context needed,0
nii,Potential reference to specific term - context needed,0
kremlin,Russian government building,0
lac,Potential reference to specific term - context needed,0
jeep,Global automobile brand,0
china’s,General reference to China - context-specific,0
syndicate bank,Indian public sector bank,1
weo,World Economic Outlook - global,0
nhai,National Highways Authority of India,1
swift,Global financial messaging service,0
alibaba group holding ltd,Chinese multinational conglomerate,0
aurelia,Potential reference to specific term - context needed,0
dgad,Directorate General of Anti-Dumping and Allied Duties - Indian regulatory body,1
state,General term - context-specific,0
hap daily,Potential reference to specific term - context needed,0
shadowfax,Indian logistics company,1
ugc,University Grants Commission - Indian regulatory body,1
the peterson institute for international economics,Global economic research institute,0
volkswagen vento,Automobile model,0
hcl technologies,Indian IT services company,1
natures basket,Indian grocery retail chain,1
bank of japan,Japanese central bank,0
clss,Credit Linked Subsidy Scheme - Indian housing scheme,1
zee entertainment,Indian media and entertainment company,1
the regulatory sandbox,General term for regulatory innovation environment,0
bank nifty to nifty,Reference to Indian stock indices,1
spice jet limited,Indian airline,1
iocl,Indian Oil Corporation Limited,1
eac,Potential reference to specific term - context needed,0
mfe,Potential reference to specific term - context needed,0
certificates of deposits,General financial term,0
kenstar,Indian home appliances brand,1
"pakistans",Potential reference to specific term - context needed,0
"franklin templeton mfs",Franklin Templeton Mutual Funds - global,0
icici prudential,Indian financial services firm,1
crecer financial,Indian financial services firm,1
the united nations,Global international organization,0
tadano,Global crane manufacturer,0
"ss rajamoulis",Indian film director,1
atmanirbhar bharat,Indian self-reliant initiative,1
sumit bilgaiyan goods,Potential reference to specific term - context needed,0
tiffany,Global luxury jewelry brand,0
indasia fund advisors,Indian investment advisory firm,1
motorola,Global electronics and telecommunications company,0
fancode,Indian sports merchandise platform,1
esg,Environmental- social- and Governance - global term,0
apac,Asia-Pacific - global region,0
avenue,Potential reference to specific term - context needed,0
stellar,Potential reference to specific term - context needed,0
jv — kunshan rotam reddy,Joint venture - specific context needed,0
dixon,Indian electronics manufacturer,1
bharat abhiyan,Indian public health initiative,1
nakoda,Indian manufacturing company,1
"asias",Potential reference to specific term - context needed,0
bcp,Potential reference to specific term - context needed,0
friday’s,Potential reference to specific term - context needed,0
indian oil corp,Indian multinational petroleum company,1
apple,Global technology company,0
the line of actual control,India-China border,1
ceama,Consumer Electronics and Appliances Manufacturers Association - India,1
vivriti,Indian financial services firm,1
rookmaaker,Potential reference to specific term - context needed,0
ham,Potential reference to specific term - context needed,0
datsun,Automobile brand - global,0
hyundai motor,Global automobile manufacturer,0
mtpa,Potential reference to specific term - context needed,0
alembic pharma,Indian pharmaceutical company,1
"rss bjps",Reference to RSS and BJP - Indian political context,1
nse,National Stock Exchange of India,1
mg motor india,Indian automobile manufacturer,1
kvb,Karur Vysya Bank - Indian private sector bank,1
anmi,Potential reference to specific term - context needed,0
mahle letrika roots india,Indian automotive component manufacturer,1
reno 5 pro,Smartphone model,0
the indian institute of tropical meteorology,Indian research institution,1
ema,Potential reference to specific term - context needed,0
il&fs,Infrastructure Leasing & Financial Services - Indian company,1
bse midcap,Indian stock index for mid-cap companies,1
yatra online,Indian travel agency,1
ac,Potential reference to specific term - context needed,0
infibeam avenues ltd,Indian e-commerce company,1
ror,Potential reference to specific term - context needed,0
sip,Systematic Investment Plan - general financial term,0
lady shri ram,Indian educational institution,1
vedl,Vedanta Limited - Indian multinational company,1
bse sme,Indian stock index for small and medium enterprises,1
employees’ provident fund organization,Indian retirement fund,1
m&a,Mergers and Acquisitions - general financial term,0
securities and exchange board of india,Indian financial regulatory body,1
burger king,Global fast food chain,0
drhp,Draft Red Herring Prospectus - general financial term,0
emerging markets,General term for developing economies,0
gec,Potential reference to specific term - context needed,0
delhi ncr,Delhi National Capital Region - India,1
cbre,Global real estate services firm,0
dr. reddy’s laboratories,Indian pharmaceutical company,1
sbi,State Bank of India - Indian public sector bank,1
suv,General term for sport utility vehicles,0
sbi life insurance,Indian life insurance company,1
vp – research,General term for Vice President – Research,0
hinduja,Indian multinational conglomerate,1
"accs",Potential reference to specific term - context needed,0
eu,European Union - global,0
america securities,Potential reference to specific term - context needed,0
angel broking ltd.,Indian financial services firm,1
qes,Potential reference to specific term - context needed,0
indegene,Indian healthcare solutions company,1
